Sample	cat16-10.trees	cat16-10.sequence01_sequence04_sequence13_sequence16_sequence15	cat16-10.sequence12_sequence09_sequence06	cat16-10.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-10.sequence05_sequence14_sequence12_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-10.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence15	
0	28.0	1.0	1.0	1.0	0.0	0.0	
1	28.0	1.0	1.0	1.0	0.0	0.0	
2	28.0	1.0	1.0	0.0	1.0	0.0	
3	30.0	1.0	1.0	0.0	0.0	1.0	
4	28.0	1.0	1.0	0.0	1.0	0.0	
5	28.0	1.0	1.0	1.0	0.0	0.0	
6	30.0	1.0	1.0	0.0	0.0	1.0	
7	30.0	1.0	1.0	0.0	0.0	1.0	
8	30.0	1.0	1.0	0.0	0.0	1.0	
9	30.0	1.0	1.0	0.0	0.0	1.0	
10	26.0	1.0	0.0	0.0	1.0	0.0	
11	30.0	1.0	1.0	0.0	0.0	1.0	
12	30.0	1.0	1.0	0.0	0.0	1.0	
13	30.0	1.0	1.0	0.0	0.0	1.0	
14	28.0	1.0	1.0	1.0	0.0	0.0	
15	28.0	1.0	1.0	1.0	0.0	0.0	
16	30.0	1.0	1.0	0.0	0.0	1.0	
17	28.0	1.0	1.0	0.0	1.0	0.0	
18	30.0	1.0	1.0	0.0	0.0	1.0	
19	30.0	1.0	1.0	0.0	0.0	1.0	
20	30.0	1.0	1.0	0.0	0.0	1.0	
21	28.0	1.0	1.0	1.0	0.0	0.0	
22	28.0	1.0	1.0	1.0	0.0	0.0	
23	28.0	1.0	1.0	1.0	0.0	0.0	
24	30.0	1.0	1.0	0.0	0.0	1.0	
25	28.0	1.0	1.0	0.0	1.0	0.0	
26	30.0	1.0	1.0	0.0	0.0	1.0	
27	30.0	1.0	1.0	0.0	0.0	1.0	
28	30.0	1.0	1.0	0.0	0.0	1.0	
29	28.0	1.0	1.0	0.0	1.0	0.0	
30	28.0	1.0	1.0	0.0	1.0	0.0	
31	28.0	1.0	1.0	0.0	1.0	0.0	
32	30.0	1.0	1.0	0.0	0.0	1.0	
33	28.0	1.0	1.0	1.0	0.0	0.0	
34	28.0	1.0	1.0	0.0	1.0	0.0	
35	30.0	1.0	1.0	0.0	0.0	1.0	
36	28.0	1.0	1.0	1.0	0.0	0.0	
37	30.0	1.0	1.0	0.0	0.0	1.0	
38	30.0	1.0	1.0	0.0	0.0	1.0	
39	28.0	1.0	1.0	0.0	1.0	0.0	
40	30.0	1.0	1.0	0.0	0.0	1.0	
41	28.0	1.0	1.0	1.0	0.0	0.0	
42	28.0	1.0	1.0	1.0	0.0	0.0	
43	28.0	1.0	1.0	0.0	1.0	0.0	
44	30.0	1.0	1.0	0.0	0.0	1.0	
45	30.0	1.0	1.0	0.0	0.0	1.0	
46	30.0	1.0	1.0	0.0	0.0	1.0	
47	30.0	1.0	1.0	0.0	0.0	1.0	
48	30.0	1.0	1.0	0.0	0.0	1.0	
49	30.0	1.0	1.0	0.0	0.0	1.0	
50	28.0	1.0	1.0	1.0	0.0	0.0	
51	28.0	1.0	1.0	1.0	0.0	0.0	
52	30.0	1.0	1.0	0.0	0.0	1.0	
53	30.0	1.0	1.0	0.0	0.0	1.0	
54	30.0	1.0	1.0	0.0	0.0	1.0	
55	28.0	1.0	1.0	0.0	1.0	0.0	
56	30.0	1.0	1.0	0.0	0.0	1.0	
57	28.0	1.0	1.0	1.0	0.0	0.0	
58	28.0	1.0	1.0	1.0	0.0	0.0	
59	30.0	1.0	1.0	0.0	0.0	1.0	
60	28.0	1.0	1.0	1.0	0.0	0.0	
61	28.0	1.0	1.0	1.0	0.0	0.0	
62	30.0	1.0	1.0	0.0	0.0	1.0	
63	30.0	1.0	1.0	0.0	0.0	1.0	
64	30.0	1.0	1.0	0.0	0.0	1.0	
65	28.0	1.0	1.0	0.0	1.0	0.0	
66	28.0	1.0	1.0	0.0	1.0	0.0	
67	30.0	1.0	1.0	0.0	0.0	1.0	
68	28.0	1.0	1.0	1.0	0.0	0.0	
69	30.0	1.0	1.0	0.0	0.0	1.0	
70	28.0	1.0	1.0	0.0	1.0	0.0	
71	30.0	1.0	1.0	0.0	0.0	1.0	
72	28.0	1.0	1.0	1.0	0.0	0.0	
73	30.0	1.0	1.0	0.0	0.0	1.0	
74	28.0	1.0	1.0	1.0	0.0	0.0	
75	30.0	1.0	1.0	0.0	0.0	1.0	
76	28.0	1.0	1.0	0.0	1.0	0.0	
77	28.0	1.0	1.0	1.0	0.0	0.0	
78	30.0	1.0	1.0	0.0	0.0	1.0	
79	28.0	1.0	1.0	0.0	1.0	0.0	
80	28.0	1.0	1.0	1.0	0.0	0.0	
81	30.0	1.0	1.0	0.0	0.0	1.0	
82	30.0	1.0	1.0	0.0	0.0	1.0	
83	30.0	1.0	1.0	0.0	0.0	1.0	
84	28.0	1.0	1.0	0.0	1.0	0.0	
85	28.0	1.0	1.0	0.0	1.0	0.0	
86	30.0	1.0	1.0	0.0	0.0	1.0	
87	28.0	1.0	1.0	1.0	0.0	0.0	
88	30.0	1.0	1.0	0.0	0.0	1.0	
89	30.0	1.0	1.0	0.0	0.0	1.0	
90	28.0	1.0	1.0	1.0	0.0	0.0	
91	28.0	1.0	1.0	1.0	0.0	0.0	
92	30.0	1.0	1.0	0.0	0.0	1.0	
93	30.0	1.0	1.0	0.0	0.0	1.0	
94	28.0	1.0	1.0	1.0	0.0	0.0	
95	30.0	1.0	1.0	0.0	0.0	1.0	
96	30.0	1.0	1.0	0.0	0.0	1.0	
97	28.0	1.0	1.0	0.0	1.0	0.0	
98	30.0	1.0	1.0	0.0	0.0	1.0	
99	28.0	1.0	1.0	1.0	0.0	0.0	
100	28.0	1.0	1.0	1.0	0.0	0.0	
101	28.0	1.0	1.0	1.0	0.0	0.0	
102	30.0	1.0	1.0	0.0	0.0	1.0	
103	28.0	1.0	1.0	0.0	1.0	0.0	
104	28.0	1.0	1.0	1.0	0.0	0.0	
105	30.0	1.0	1.0	0.0	0.0	1.0	
106	30.0	1.0	1.0	0.0	0.0	1.0	
107	28.0	1.0	1.0	0.0	1.0	0.0	
108	30.0	1.0	1.0	0.0	0.0	1.0	
109	30.0	1.0	1.0	0.0	0.0	1.0	
110	28.0	1.0	1.0	1.0	0.0	0.0	
111	30.0	1.0	1.0	0.0	0.0	1.0	
112	30.0	1.0	1.0	0.0	0.0	1.0	
113	28.0	1.0	1.0	1.0	0.0	0.0	
114	28.0	1.0	1.0	0.0	1.0	0.0	
115	30.0	1.0	1.0	0.0	0.0	1.0	
116	28.0	1.0	1.0	0.0	1.0	0.0	
117	30.0	1.0	1.0	0.0	0.0	1.0	
118	28.0	1.0	1.0	0.0	1.0	0.0	
119	30.0	1.0	1.0	0.0	0.0	1.0	
120	28.0	1.0	1.0	0.0	1.0	0.0	
121	28.0	1.0	1.0	1.0	0.0	0.0	
122	28.0	1.0	1.0	0.0	1.0	0.0	
123	30.0	1.0	1.0	0.0	0.0	1.0	
124	28.0	1.0	1.0	1.0	0.0	0.0	
125	28.0	1.0	1.0	0.0	1.0	0.0	
126	30.0	1.0	1.0	0.0	0.0	1.0	
127	30.0	1.0	1.0	0.0	0.0	1.0	
128	28.0	1.0	1.0	0.0	1.0	0.0	
129	28.0	1.0	1.0	1.0	0.0	0.0	
130	30.0	1.0	1.0	0.0	0.0	1.0	
131	30.0	1.0	1.0	0.0	0.0	1.0	
132	30.0	1.0	1.0	0.0	0.0	1.0	
133	28.0	1.0	1.0	0.0	1.0	0.0	
134	30.0	1.0	1.0	0.0	0.0	1.0	
135	30.0	1.0	1.0	0.0	0.0	1.0	
136	28.0	1.0	1.0	0.0	1.0	0.0	
137	30.0	1.0	1.0	0.0	0.0	1.0	
138	30.0	1.0	1.0	0.0	0.0	1.0	
139	30.0	1.0	1.0	0.0	0.0	1.0	
140	28.0	1.0	1.0	0.0	1.0	0.0	
141	30.0	1.0	1.0	0.0	0.0	1.0	
142	30.0	1.0	1.0	0.0	0.0	1.0	
143	26.0	0.0	1.0	0.0	1.0	0.0	
144	30.0	1.0	1.0	0.0	0.0	1.0	
145	30.0	1.0	1.0	0.0	0.0	1.0	
146	28.0	1.0	1.0	0.0	1.0	0.0	
147	28.0	1.0	1.0	0.0	1.0	0.0	
148	28.0	1.0	1.0	1.0	0.0	0.0	
149	28.0	1.0	1.0	0.0	1.0	0.0	
150	28.0	1.0	1.0	0.0	1.0	0.0	
151	30.0	1.0	1.0	0.0	0.0	1.0	
152	30.0	1.0	1.0	0.0	0.0	1.0	
153	30.0	1.0	1.0	0.0	0.0	1.0	
154	28.0	1.0	1.0	0.0	1.0	0.0	
155	28.0	1.0	1.0	0.0	1.0	0.0	
156	28.0	1.0	1.0	0.0	1.0	0.0	
157	28.0	1.0	1.0	0.0	1.0	0.0	
158	28.0	1.0	1.0	0.0	1.0	0.0	
159	28.0	1.0	1.0	0.0	1.0	0.0	
160	28.0	1.0	1.0	1.0	0.0	0.0	
161	28.0	1.0	1.0	0.0	1.0	0.0	
162	28.0	1.0	1.0	0.0	1.0	0.0	
163	28.0	1.0	1.0	0.0	1.0	0.0	
164	30.0	1.0	1.0	0.0	0.0	1.0	
165	30.0	1.0	1.0	0.0	0.0	1.0	
166	28.0	1.0	1.0	0.0	1.0	0.0	
167	28.0	1.0	1.0	0.0	1.0	0.0	
168	28.0	1.0	1.0	1.0	0.0	0.0	
169	28.0	1.0	1.0	1.0	0.0	0.0	
170	28.0	1.0	1.0	1.0	0.0	0.0	
171	30.0	1.0	1.0	0.0	0.0	1.0	
172	28.0	1.0	1.0	0.0	1.0	0.0	
173	30.0	1.0	1.0	0.0	0.0	1.0	
174	28.0	1.0	1.0	0.0	1.0	0.0	
175	30.0	1.0	1.0	0.0	0.0	1.0	
176	30.0	1.0	1.0	0.0	0.0	1.0	
177	30.0	1.0	1.0	0.0	0.0	1.0	
178	28.0	1.0	1.0	0.0	1.0	0.0	
179	30.0	1.0	1.0	0.0	0.0	1.0	
180	30.0	1.0	1.0	0.0	0.0	1.0	
181	30.0	1.0	1.0	0.0	0.0	1.0	
182	30.0	1.0	1.0	0.0	0.0	1.0	
183	28.0	1.0	1.0	0.0	1.0	0.0	
184	28.0	1.0	1.0	0.0	1.0	0.0	
185	28.0	1.0	1.0	0.0	1.0	0.0	
186	28.0	1.0	1.0	1.0	0.0	0.0	
187	28.0	1.0	1.0	1.0	0.0	0.0	
188	30.0	1.0	1.0	0.0	0.0	1.0	
