Sample	cat16-17.trees	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence16_sequence02_sequence10_sequence06_sequence15	cat16-17.sequence05_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	cat16-17.sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence16_sequence10_sequence06_sequence15	cat16-17.sequence01_sequence04_sequence02_sequence15	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence09_sequence03_sequence08_sequence15	cat16-17.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-17.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence08_sequence15	
0	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
1	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
2	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
3	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
4	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
5	26.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
6	26.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
7	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
8	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
9	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
10	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
11	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
12	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
13	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
14	26.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
15	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
16	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
17	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
18	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
19	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
20	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
21	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
22	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
23	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
24	26.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
25	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
26	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
27	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
28	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
29	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
30	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
31	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
32	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
33	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
34	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
35	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
36	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
37	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
38	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
39	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
40	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
41	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
42	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
43	26.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
44	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
45	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
46	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
47	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
48	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	
49	26.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
50	26.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
51	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
52	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
53	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
54	28.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
55	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
56	28.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
57	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
58	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
59	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
60	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
61	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
62	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
63	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
64	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
65	30.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
66	28.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
