Sample	cat16-23.trees	cat16-23.sequence04_sequence10	cat16-23.sequence05_sequence02_sequence09_sequence08	cat16-23.sequence04_sequence03	cat16-23.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-23.sequence03_sequence10	
0	28.0	1.0	1.0	0.0	0.0	0.0	
1	28.0	1.0	1.0	0.0	0.0	0.0	
2	28.0	1.0	1.0	0.0	0.0	0.0	
3	28.0	1.0	1.0	0.0	0.0	0.0	
4	28.0	1.0	1.0	0.0	0.0	0.0	
5	28.0	1.0	1.0	0.0	0.0	0.0	
6	28.0	1.0	1.0	0.0	0.0	0.0	
7	28.0	1.0	1.0	0.0	0.0	0.0	
8	28.0	1.0	1.0	0.0	0.0	0.0	
9	28.0	1.0	1.0	0.0	0.0	0.0	
10	28.0	1.0	1.0	0.0	0.0	0.0	
11	28.0	1.0	1.0	0.0	0.0	0.0	
12	28.0	1.0	1.0	0.0	0.0	0.0	
13	28.0	1.0	1.0	0.0	0.0	0.0	
14	28.0	1.0	1.0	0.0	0.0	0.0	
15	28.0	1.0	1.0	0.0	0.0	0.0	
16	28.0	1.0	1.0	0.0	0.0	0.0	
17	28.0	1.0	1.0	0.0	0.0	0.0	
18	28.0	1.0	1.0	0.0	0.0	0.0	
19	28.0	1.0	1.0	0.0	0.0	0.0	
20	28.0	1.0	1.0	0.0	0.0	0.0	
21	28.0	1.0	1.0	0.0	0.0	0.0	
22	26.0	0.0	1.0	1.0	0.0	0.0	
23	26.0	0.0	1.0	0.0	0.0	1.0	
24	28.0	1.0	1.0	0.0	0.0	0.0	
25	28.0	1.0	1.0	0.0	0.0	0.0	
26	28.0	1.0	1.0	0.0	0.0	0.0	
27	28.0	1.0	1.0	0.0	0.0	0.0	
28	28.0	1.0	1.0	0.0	0.0	0.0	
29	28.0	1.0	1.0	0.0	0.0	0.0	
30	26.0	0.0	1.0	1.0	0.0	0.0	
31	28.0	1.0	1.0	0.0	0.0	0.0	
32	28.0	1.0	1.0	0.0	0.0	0.0	
33	28.0	1.0	1.0	0.0	0.0	0.0	
34	28.0	1.0	1.0	0.0	0.0	0.0	
35	26.0	0.0	1.0	0.0	0.0	1.0	
36	28.0	1.0	1.0	0.0	0.0	0.0	
37	28.0	1.0	1.0	0.0	0.0	0.0	
38	28.0	1.0	1.0	0.0	0.0	0.0	
39	28.0	1.0	1.0	0.0	0.0	0.0	
40	28.0	1.0	1.0	0.0	0.0	0.0	
41	26.0	0.0	1.0	0.0	0.0	1.0	
42	28.0	1.0	1.0	0.0	0.0	0.0	
43	28.0	1.0	1.0	0.0	0.0	0.0	
44	26.0	0.0	1.0	1.0	0.0	0.0	
45	28.0	1.0	1.0	0.0	0.0	0.0	
46	28.0	1.0	1.0	0.0	0.0	0.0	
47	28.0	1.0	1.0	0.0	0.0	0.0	
48	28.0	1.0	1.0	0.0	0.0	0.0	
49	28.0	1.0	1.0	0.0	0.0	0.0	
50	26.0	0.0	1.0	1.0	0.0	0.0	
51	28.0	1.0	1.0	0.0	0.0	0.0	
52	26.0	0.0	1.0	1.0	0.0	0.0	
53	28.0	1.0	1.0	0.0	0.0	0.0	
54	28.0	1.0	1.0	0.0	0.0	0.0	
55	28.0	1.0	1.0	0.0	0.0	0.0	
56	28.0	1.0	1.0	0.0	0.0	0.0	
57	28.0	1.0	1.0	0.0	0.0	0.0	
58	28.0	1.0	1.0	0.0	0.0	0.0	
59	28.0	1.0	1.0	0.0	0.0	0.0	
60	28.0	1.0	1.0	0.0	0.0	0.0	
61	28.0	1.0	1.0	0.0	0.0	0.0	
62	28.0	1.0	1.0	0.0	0.0	0.0	
63	28.0	1.0	1.0	0.0	0.0	0.0	
64	28.0	1.0	1.0	0.0	0.0	0.0	
65	28.0	1.0	1.0	0.0	0.0	0.0	
66	28.0	1.0	1.0	0.0	0.0	0.0	
67	28.0	1.0	1.0	0.0	0.0	0.0	
68	28.0	1.0	1.0	0.0	0.0	0.0	
69	28.0	1.0	1.0	0.0	0.0	0.0	
70	28.0	1.0	1.0	0.0	0.0	0.0	
71	28.0	1.0	1.0	0.0	0.0	0.0	
72	28.0	1.0	1.0	0.0	0.0	0.0	
73	28.0	1.0	1.0	0.0	0.0	0.0	
74	28.0	1.0	1.0	0.0	0.0	0.0	
75	28.0	1.0	1.0	0.0	0.0	0.0	
76	28.0	1.0	1.0	0.0	0.0	0.0	
77	28.0	1.0	1.0	0.0	0.0	0.0	
78	28.0	1.0	1.0	0.0	0.0	0.0	
79	28.0	1.0	1.0	0.0	0.0	0.0	
80	28.0	1.0	1.0	0.0	0.0	0.0	
81	28.0	1.0	1.0	0.0	0.0	0.0	
82	28.0	1.0	1.0	0.0	0.0	0.0	
83	28.0	1.0	1.0	0.0	0.0	0.0	
84	28.0	1.0	1.0	0.0	0.0	0.0	
85	28.0	1.0	1.0	0.0	0.0	0.0	
86	28.0	1.0	1.0	0.0	0.0	0.0	
87	28.0	1.0	1.0	0.0	0.0	0.0	
88	28.0	1.0	1.0	0.0	0.0	0.0	
89	28.0	1.0	1.0	0.0	0.0	0.0	
90	28.0	1.0	1.0	0.0	0.0	0.0	
91	28.0	1.0	1.0	0.0	0.0	0.0	
92	28.0	1.0	1.0	0.0	0.0	0.0	
93	28.0	1.0	1.0	0.0	0.0	0.0	
94	28.0	1.0	1.0	0.0	0.0	0.0	
95	28.0	1.0	1.0	0.0	0.0	0.0	
96	28.0	1.0	1.0	0.0	0.0	0.0	
97	28.0	1.0	1.0	0.0	0.0	0.0	
98	28.0	1.0	1.0	0.0	0.0	0.0	
99	28.0	1.0	1.0	0.0	0.0	0.0	
100	28.0	1.0	1.0	0.0	0.0	0.0	
101	28.0	1.0	1.0	0.0	0.0	0.0	
102	28.0	1.0	1.0	0.0	0.0	0.0	
103	28.0	1.0	1.0	0.0	0.0	0.0	
104	26.0	0.0	1.0	0.0	0.0	1.0	
105	26.0	0.0	1.0	0.0	0.0	1.0	
106	28.0	1.0	1.0	0.0	0.0	0.0	
