Sample	cat16-27.trees	cat16-27.sequence04_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence14_sequence02_sequence09_sequence10	cat16-27.sequence05_sequence04_sequence16_sequence02_sequence09_sequence10	cat16-27.sequence01_sequence07_sequence03_sequence08	cat16-27.sequence01_sequence07_sequence11_sequence12_sequence13_sequence03_sequence06_sequence08_sequence15	cat16-27.sequence14_sequence16	cat16-27.sequence01_sequence07_sequence12_sequence03_sequence06	
0	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
1	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
2	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
3	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
4	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
5	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
6	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
7	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
8	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
9	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
10	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
11	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
12	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
13	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
14	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
15	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
16	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
17	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
18	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
19	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
20	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
21	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
22	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
23	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
24	26.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	
25	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
26	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
27	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
28	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
29	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
30	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
31	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
32	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
33	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
34	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
35	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
36	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
37	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
38	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
39	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
40	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
41	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
42	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
43	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
44	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
45	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
46	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
47	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
48	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
49	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
50	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
51	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
52	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
53	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
54	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
55	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
56	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
57	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
58	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
59	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
60	28.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
61	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
62	28.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	
63	28.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	
64	30.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
