Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence10_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	
0	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
1	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
2	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
3	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
4	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
5	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
6	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
7	28.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
8	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
9	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
10	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
11	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
12	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
13	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
14	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
15	26.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
16	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
17	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
18	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
19	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
20	28.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
21	30.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
