Sample	cat16-41.trees	cat16-41.sequence09_sequence10	cat16-41.sequence16_sequence09	cat16-41.sequence16_sequence10	
0	28.0	1.0	0.0	0.0	
1	28.0	1.0	0.0	0.0	
2	28.0	1.0	0.0	0.0	
3	28.0	0.0	0.0	1.0	
4	28.0	0.0	0.0	1.0	
5	28.0	1.0	0.0	0.0	
6	28.0	1.0	0.0	0.0	
7	28.0	0.0	0.0	1.0	
8	28.0	0.0	0.0	1.0	
9	28.0	0.0	0.0	1.0	
10	30.0	0.0	1.0	0.0	
11	28.0	0.0	0.0	1.0	
12	28.0	0.0	0.0	1.0	
13	28.0	0.0	0.0	1.0	
14	28.0	1.0	0.0	0.0	
15	28.0	0.0	0.0	1.0	
16	28.0	1.0	0.0	0.0	
17	30.0	0.0	1.0	0.0	
18	28.0	1.0	0.0	0.0	
19	28.0	0.0	0.0	1.0	
20	28.0	0.0	0.0	1.0	
21	28.0	1.0	0.0	0.0	
22	28.0	1.0	0.0	0.0	
23	28.0	1.0	0.0	0.0	
24	28.0	1.0	0.0	0.0	
25	28.0	0.0	0.0	1.0	
26	28.0	0.0	0.0	1.0	
27	30.0	0.0	1.0	0.0	
28	28.0	1.0	0.0	0.0	
29	28.0	1.0	0.0	0.0	
30	30.0	0.0	1.0	0.0	
31	30.0	0.0	1.0	0.0	
32	28.0	0.0	0.0	1.0	
33	28.0	1.0	0.0	0.0	
34	30.0	0.0	1.0	0.0	
35	28.0	1.0	0.0	0.0	
36	28.0	1.0	0.0	0.0	
37	30.0	0.0	1.0	0.0	
38	28.0	0.0	0.0	1.0	
39	28.0	1.0	0.0	0.0	
40	28.0	1.0	0.0	0.0	
41	28.0	1.0	0.0	0.0	
42	28.0	0.0	0.0	1.0	
43	30.0	0.0	1.0	0.0	
44	28.0	1.0	0.0	0.0	
45	28.0	0.0	0.0	1.0	
46	28.0	0.0	0.0	1.0	
47	28.0	1.0	0.0	0.0	
48	28.0	1.0	0.0	0.0	
49	28.0	1.0	0.0	0.0	
50	28.0	0.0	0.0	1.0	
51	30.0	0.0	1.0	0.0	
52	28.0	0.0	0.0	1.0	
53	28.0	1.0	0.0	0.0	
54	28.0	0.0	0.0	1.0	
55	28.0	0.0	0.0	1.0	
56	28.0	0.0	0.0	1.0	
57	28.0	0.0	0.0	1.0	
58	28.0	0.0	0.0	1.0	
59	30.0	0.0	1.0	0.0	
60	28.0	1.0	0.0	0.0	
61	28.0	0.0	0.0	1.0	
62	28.0	0.0	0.0	1.0	
63	28.0	0.0	0.0	1.0	
64	28.0	0.0	0.0	1.0	
65	28.0	0.0	0.0	1.0	
66	28.0	0.0	0.0	1.0	
67	28.0	1.0	0.0	0.0	
68	28.0	0.0	0.0	1.0	
69	28.0	1.0	0.0	0.0	
70	28.0	1.0	0.0	0.0	
71	28.0	0.0	0.0	1.0	
72	28.0	0.0	0.0	1.0	
73	28.0	0.0	0.0	1.0	
74	28.0	1.0	0.0	0.0	
75	28.0	1.0	0.0	0.0	
76	28.0	1.0	0.0	0.0	
77	30.0	0.0	1.0	0.0	
78	28.0	1.0	0.0	0.0	
79	28.0	0.0	0.0	1.0	
80	28.0	1.0	0.0	0.0	
81	28.0	1.0	0.0	0.0	
82	28.0	1.0	0.0	0.0	
83	30.0	0.0	1.0	0.0	
84	28.0	1.0	0.0	0.0	
85	30.0	0.0	1.0	0.0	
86	28.0	1.0	0.0	0.0	
