Sample	cat16-57.trees	cat16-57.sequence04_sequence10	cat16-57.sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-57.sequence16_sequence06	cat16-57.sequence16_sequence03	cat16-57.sequence05_sequence04_sequence09_sequence10	cat16-57.sequence07_sequence11_sequence16_sequence02_sequence03_sequence06	cat16-57.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence13_sequence09_sequence10_sequence08_sequence15	
0	26.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
1	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
2	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
3	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
4	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
5	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
6	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
7	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
8	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
9	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
10	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
11	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
12	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
13	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
14	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
15	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
16	28.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
17	28.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	
18	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
19	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
20	30.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	
21	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	
22	26.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
23	26.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
24	26.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
