Sample	cat16-82.trees	cat16-82.sequence01_sequence04_sequence11_sequence16_sequence06	cat16-82.sequence09_sequence10_sequence08	cat16-82.sequence14_sequence09	cat16-82.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence15	cat16-82.sequence05_sequence14_sequence07_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-82.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence06_sequence15	cat16-82.sequence14_sequence07_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-82.sequence01_sequence05_sequence04_sequence11_sequence16_sequence06	cat16-82.sequence05_sequence14_sequence09_sequence10_sequence08	cat16-82.sequence01_sequence11_sequence16_sequence06	cat16-82.sequence01_sequence04_sequence14_sequence11_sequence16_sequence09_sequence10_sequence06_sequence08	cat16-82.sequence07_sequence12_sequence03_sequence15	cat16-82.sequence14_sequence10_sequence08	cat16-82.sequence05_sequence07_sequence12_sequence13_sequence02_sequence03_sequence15	cat16-82.sequence07_sequence12_sequence13_sequence02_sequence15	cat16-82.sequence07_sequence12_sequence13_sequence02_sequence03_sequence15	cat16-82.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-82.sequence13_sequence02_sequence03	cat16-82.sequence01_sequence05_sequence04_sequence14_sequence11_sequence16_sequence09_sequence10_sequence06_sequence08	
0	30.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
1	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
2	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
3	28.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
4	26.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
5	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
6	26.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
7	28.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
8	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
9	30.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
10	28.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
11	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
12	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	
13	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
14	30.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
