Sample	cat16-90.trees	cat16-90.sequence04_sequence14_sequence11_sequence03_sequence10	cat16-90.sequence14_sequence09_sequence06	cat16-90.sequence04_sequence14_sequence11_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-90.sequence04_sequence11_sequence09_sequence03_sequence10_sequence06	cat16-90.sequence12_sequence16	cat16-90.sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-90.sequence05_sequence04_sequence14_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06	cat16-90.sequence05_sequence07_sequence13_sequence08_sequence15	
0	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
1	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
2	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
3	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
4	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
5	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
6	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
7	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
8	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
9	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
10	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
11	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
12	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
13	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
14	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
15	26.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	
16	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
17	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
18	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
19	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
20	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
21	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
22	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
23	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
24	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
25	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
26	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
27	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
28	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
29	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
30	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
31	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
32	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
33	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
34	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
35	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
36	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
37	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
38	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
39	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
40	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
41	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
42	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
43	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
44	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
45	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
46	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
47	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
48	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
49	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
50	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
51	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
52	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
53	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
54	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
55	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
56	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
57	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
58	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	
59	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
60	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
61	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
62	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
63	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
64	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
65	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
66	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
67	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
68	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
69	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
70	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
71	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
72	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
73	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
74	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
75	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
76	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
77	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
78	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
79	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
80	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
81	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
82	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
83	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
84	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
85	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
86	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
87	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
88	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
89	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
90	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
91	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
92	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
93	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
94	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
95	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
96	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
97	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
98	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
99	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
100	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
101	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
102	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
103	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
104	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
105	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
106	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
107	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
108	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
109	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
110	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
111	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
112	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
113	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
114	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
115	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
116	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
117	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
118	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
119	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
120	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
121	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
122	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
123	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
124	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
125	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
126	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
127	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
128	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
129	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
130	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
131	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
132	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
133	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
134	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
135	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
136	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
137	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
138	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
139	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
140	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
141	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
142	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
143	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
144	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
145	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
146	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
147	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
148	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
149	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
150	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
151	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
152	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
153	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
154	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
155	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
156	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
157	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
158	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
159	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
160	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
161	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
162	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
163	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
164	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
165	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
166	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
167	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
168	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
169	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
170	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
171	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
172	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
173	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
174	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
175	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
176	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
177	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
178	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
179	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
180	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
181	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
182	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
183	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
184	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
185	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
186	28.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
187	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
188	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
189	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
190	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
191	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
192	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
193	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
194	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
195	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
196	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
197	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
198	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
199	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
200	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
201	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
202	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
203	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
204	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
205	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
206	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
207	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
208	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
209	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
210	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
211	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
212	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
213	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
214	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
215	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
216	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
217	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
218	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
219	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
220	28.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	
221	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
222	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
223	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
224	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
225	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
226	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
227	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
228	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
229	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
230	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
231	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
232	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
233	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
234	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
235	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
236	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
237	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
238	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
239	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
240	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
241	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
242	26.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	
243	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
244	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
245	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
246	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
247	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
248	28.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
249	30.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
