Sample	cat16-91.trees	cat16-91.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence03_sequence10_sequence06_sequence15	cat16-91.sequence01_sequence05_sequence07_sequence09_sequence03_sequence08	cat16-91.sequence14_sequence11	cat16-91.sequence14_sequence11_sequence13_sequence06	cat16-91.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-91.sequence11_sequence06	cat16-91.sequence14_sequence06	
0	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
1	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
2	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
3	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
4	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
5	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
6	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
7	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
8	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
9	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
10	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
11	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
12	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
13	28.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
14	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
15	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
16	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
17	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
18	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	
19	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
20	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
21	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
22	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
23	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
24	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
25	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
26	30.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
