Sample	cat16-92.trees	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence16_sequence02_sequence03_sequence06	cat16-92.sequence04_sequence14_sequence02_sequence03_sequence10_sequence06	cat16-92.sequence05_sequence11_sequence12_sequence13_sequence16_sequence09_sequence08_sequence15	cat16-92.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	cat16-92.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-92.sequence01_sequence07_sequence10	cat16-92.sequence04_sequence14_sequence13_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
0	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
1	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
2	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
3	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
4	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
5	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
6	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
7	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
8	26.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
9	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
10	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
11	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
12	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
13	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
14	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
15	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
16	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
17	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
18	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
19	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
20	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
21	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
22	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
23	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
24	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
25	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
26	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
27	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
28	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
29	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
30	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
31	28.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
32	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
33	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
34	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
35	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
36	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
37	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
38	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
39	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
40	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
41	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
42	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
43	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
44	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
45	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
46	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
47	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
48	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
49	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
50	30.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
