Sample	cat16-29.trees	cat16-29.sequence01_sequence13_sequence14_sequence16_sequence06	cat16-29.sequence03_sequence09	cat16-29.sequence03_sequence09_sequence12	cat16-29.sequence02_sequence03_sequence09_sequence12	cat16-29.sequence13_sequence14	cat16-29.sequence01_sequence13_sequence14	cat16-29.sequence01_sequence13_sequence14_sequence16	cat16-29.sequence01_sequence13_sequence14_sequence16_sequence06_sequence04_sequence11_sequence15_sequence05_sequence10_sequence08_sequence07	cat16-29.sequence01_sequence13_sequence14_sequence16_sequence06_sequence04_sequence11_sequence15_sequence05_sequence10_sequence08_sequence07_sequence02_sequence03_sequence09_sequence12	cat16-29.sequence04_sequence11	cat16-29.sequence04_sequence11_sequence15	cat16-29.sequence04_sequence11_sequence15_sequence05	cat16-29.sequence04_sequence11_sequence15_sequence05_sequence10	cat16-29.sequence04_sequence11_sequence15_sequence05_sequence10_sequence08	cat16-29.sequence04_sequence11_sequence15_sequence05_sequence10_sequence08_sequence07	
0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	18.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
8	18.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	
12	20.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	
16	22.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
20	20.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	
24	22.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
28	22.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
32	22.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
36	22.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
40	24.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
44	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
48	20.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	
52	20.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	
56	22.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
60	24.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	
64	24.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
68	24.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
