Sample	cat16-85.trees	cat16-85.sequence02_sequence10	cat16-85.sequence01_sequence04_sequence13_sequence02_sequence10	cat16-85.sequence03_sequence05	cat16-85.sequence03_sequence05_sequence07	cat16-85.sequence11_sequence14	cat16-85.sequence03_sequence05_sequence07_sequence11_sequence14	cat16-85.sequence03_sequence05_sequence07_sequence11_sequence14_sequence16	cat16-85.sequence06_sequence08	cat16-85.sequence09_sequence15	cat16-85.sequence06_sequence08_sequence09_sequence15	cat16-85.sequence03_sequence05_sequence07_sequence11_sequence14_sequence16_sequence06_sequence08_sequence09_sequence15	cat16-85.sequence04_sequence13	cat16-85.sequence01_sequence04_sequence13	cat16-85.sequence01_sequence04_sequence13_sequence02_sequence10_sequence12	cat16-85.sequence01_sequence04_sequence13_sequence02_sequence10_sequence12_sequence03_sequence05_sequence07_sequence11_sequence14_sequence16_sequence06_sequence08_sequence09_sequence15	
0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	
4	24.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	
8	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
12	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
16	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
20	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
24	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
28	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
32	26.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
36	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
