Sample	cat16-31.trees	cat16-31.sequence04_sequence14_sequence12_sequence16_sequence02_sequence08	cat16-31.sequence01_sequence05_sequence07_sequence11_sequence13_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-31.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-31.sequence14_sequence16_sequence02	
0	30.0	0.0	0.0	1.0	1.0	
1	28.0	1.0	0.0	0.0	1.0	
2	28.0	0.0	1.0	0.0	1.0	
3	28.0	0.0	1.0	0.0	1.0	
4	28.0	0.0	1.0	0.0	1.0	
5	28.0	0.0	1.0	0.0	1.0	
6	28.0	0.0	1.0	0.0	1.0	
7	30.0	0.0	0.0	1.0	1.0	
8	28.0	1.0	0.0	0.0	1.0	
9	30.0	0.0	0.0	1.0	1.0	
10	30.0	0.0	0.0	1.0	1.0	
11	30.0	0.0	0.0	1.0	1.0	
12	28.0	0.0	1.0	0.0	1.0	
13	28.0	0.0	1.0	0.0	1.0	
14	30.0	0.0	0.0	1.0	1.0	
15	30.0	0.0	0.0	1.0	1.0	
16	28.0	0.0	1.0	0.0	1.0	
17	28.0	0.0	1.0	0.0	1.0	
18	28.0	0.0	1.0	0.0	1.0	
19	30.0	0.0	0.0	1.0	1.0	
20	30.0	0.0	0.0	1.0	1.0	
21	28.0	0.0	1.0	0.0	1.0	
22	28.0	0.0	1.0	0.0	1.0	
23	28.0	1.0	0.0	0.0	1.0	
24	28.0	1.0	0.0	0.0	1.0	
25	30.0	0.0	0.0	1.0	1.0	
26	30.0	0.0	0.0	1.0	1.0	
27	30.0	0.0	0.0	1.0	1.0	
28	28.0	0.0	1.0	0.0	1.0	
29	30.0	0.0	0.0	1.0	1.0	
30	28.0	0.0	1.0	0.0	1.0	
31	28.0	0.0	1.0	0.0	1.0	
32	30.0	0.0	0.0	1.0	1.0	
33	28.0	0.0	1.0	0.0	1.0	
34	28.0	0.0	1.0	0.0	1.0	
35	28.0	0.0	1.0	0.0	1.0	
