Sample	cat16-34.trees	cat16-34.sequence01_sequence04_sequence11_sequence13_sequence10	cat16-34.sequence05_sequence11_sequence09_sequence03_sequence08_sequence15	cat16-34.sequence12_sequence06	cat16-34.sequence07_sequence16	cat16-34.sequence12_sequence02	cat16-34.sequence02_sequence06	cat16-34.sequence01_sequence05_sequence04_sequence13_sequence09_sequence03_sequence10_sequence08_sequence15	
0	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
1	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
2	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
3	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
4	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
5	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
6	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
7	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
8	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
9	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
10	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
11	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
12	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
13	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
14	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
15	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
16	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
17	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
18	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
19	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
20	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
21	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
22	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
23	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
24	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
25	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
26	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
27	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
28	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
29	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
30	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
31	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
32	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
33	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
34	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
35	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
36	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
37	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
38	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
39	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
40	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
41	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
42	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
43	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
44	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
45	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
46	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
47	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
48	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
49	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
50	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
51	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
52	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
53	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
54	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
55	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
56	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
57	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
58	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
59	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
60	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
61	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
62	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
63	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
64	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
65	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
66	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
67	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
68	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
69	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
70	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
71	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
72	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
73	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
74	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
75	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
76	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
77	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
78	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
79	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
80	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
