Sample	cat16-38.trees	cat16-38.sequence11_sequence10_sequence06	cat16-38.sequence11_sequence06_sequence15	cat16-38.sequence10_sequence15	cat16-38.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03	cat16-38.sequence05_sequence07_sequence02	cat16-38.sequence01_sequence04_sequence14_sequence11_sequence12_sequence13_sequence09_sequence10_sequence06_sequence08_sequence15	cat16-38.sequence05_sequence16_sequence02_sequence03	cat16-38.sequence07_sequence16_sequence03	cat16-38.sequence05_sequence07_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08_sequence15	
0	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
1	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
2	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
3	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
4	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
5	28.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
6	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
7	24.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
8	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
9	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
10	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
11	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
12	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
13	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
14	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
15	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
16	26.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	
17	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
18	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
19	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
20	26.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
21	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
22	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
23	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
24	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
25	26.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
26	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
27	28.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
28	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
29	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
30	24.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	
31	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
32	28.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
