Sample	cat16-47.trees	cat16-47.sequence10_sequence06	cat16-47.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-47.sequence05_sequence14_sequence12_sequence02	cat16-47.sequence07_sequence16_sequence03_sequence15	cat16-47.sequence01_sequence04_sequence11_sequence09_sequence06	cat16-47.sequence01_sequence04_sequence11_sequence13_sequence09_sequence10_sequence06_sequence08	cat16-47.sequence01_sequence04_sequence11_sequence09_sequence10	cat16-47.sequence05_sequence14_sequence07_sequence12_sequence13_sequence16_sequence02_sequence03_sequence08_sequence15	cat16-47.sequence05_sequence07_sequence12_sequence16_sequence03_sequence15	cat16-47.sequence14_sequence07_sequence16_sequence02_sequence03_sequence15	
0	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
1	26.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	
2	24.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
3	24.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
4	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
5	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
6	24.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
7	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
8	24.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
9	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
10	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
11	24.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	
12	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
13	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
14	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
15	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
16	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
17	24.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
18	24.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	
19	28.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
20	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
21	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
22	26.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
23	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
24	26.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
25	30.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	
26	26.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
