Sample	cat16-52.trees	cat16-52.sequence05_sequence11_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence06_sequence08	cat16-52.sequence01_sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-52.sequence01_sequence07	cat16-52.sequence05_sequence04_sequence14_sequence12_sequence16_sequence09_sequence03_sequence10_sequence15	
0	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
1	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
2	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
3	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
4	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
5	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
6	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
7	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
8	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
9	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
10	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
11	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
12	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
13	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
14	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
15	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
16	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
17	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
18	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
19	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
20	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
21	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
22	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
23	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
24	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
25	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
26	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
27	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
28	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
29	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
30	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
31	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
32	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
33	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
34	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
35	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
36	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
37	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
38	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
39	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
40	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
41	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
42	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
43	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
44	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
45	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
46	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
47	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
48	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
49	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
50	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
51	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
52	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
53	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
54	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
55	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
56	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
57	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
58	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
59	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
60	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
61	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
62	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
63	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
64	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
65	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
66	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
67	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
68	30.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
69	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
70	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
71	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
72	26.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
73	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
74	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
75	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
76	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
77	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
78	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
79	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
80	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
81	28.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
82	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
83	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
84	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
85	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
86	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
87	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
88	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
89	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
90	28.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
91	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
92	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
93	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
94	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
95	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
96	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
97	28.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
98	26.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	
99	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
