Sample	cat16-53.trees	cat16-53.sequence01_sequence07_sequence12_sequence09	cat16-53.sequence04_sequence12_sequence13_sequence02	cat16-53.sequence11_sequence03	cat16-53.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-53.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-53.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-53.sequence11_sequence15	cat16-53.sequence03_sequence15	cat16-53.sequence14_sequence06_sequence08	cat16-53.sequence11_sequence16_sequence03_sequence06_sequence08_sequence15	cat16-53.sequence14_sequence11_sequence16_sequence03_sequence15	cat16-53.sequence14_sequence11_sequence16_sequence03_sequence06_sequence08_sequence15	cat16-53.sequence01_sequence05_sequence04_sequence07_sequence12_sequence13_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-53.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-53.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence13_sequence02_sequence09_sequence10	cat16-53.sequence01_sequence04_sequence07_sequence13_sequence02_sequence09	
0	28.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	26.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
2	24.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
3	26.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
4	28.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
5	24.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
6	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
7	26.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
8	26.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
9	24.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
