Sample	cat16-58.trees	cat16-58.sequence04_sequence14_sequence11_sequence09	cat16-58.sequence01_sequence04_sequence14_sequence07_sequence11_sequence16_sequence09_sequence10_sequence06	
0	30.0	1.0	1.0	
1	30.0	1.0	1.0	
2	30.0	1.0	1.0	
3	30.0	1.0	1.0	
4	30.0	1.0	1.0	
5	30.0	1.0	1.0	
6	30.0	1.0	1.0	
7	30.0	1.0	1.0	
8	30.0	1.0	1.0	
9	30.0	1.0	1.0	
10	30.0	1.0	1.0	
11	30.0	1.0	1.0	
12	30.0	1.0	1.0	
13	30.0	1.0	1.0	
14	30.0	1.0	1.0	
15	30.0	1.0	1.0	
16	30.0	1.0	1.0	
17	30.0	1.0	1.0	
18	30.0	1.0	1.0	
19	30.0	1.0	1.0	
20	30.0	1.0	1.0	
21	30.0	1.0	1.0	
22	30.0	1.0	1.0	
23	30.0	1.0	1.0	
24	30.0	1.0	1.0	
25	30.0	1.0	1.0	
26	30.0	1.0	1.0	
27	30.0	1.0	1.0	
28	30.0	1.0	1.0	
29	30.0	1.0	1.0	
30	30.0	1.0	1.0	
31	30.0	1.0	1.0	
32	30.0	1.0	1.0	
33	30.0	1.0	1.0	
34	30.0	1.0	1.0	
35	30.0	1.0	1.0	
36	30.0	1.0	1.0	
37	30.0	1.0	1.0	
38	30.0	1.0	1.0	
39	30.0	1.0	1.0	
40	30.0	1.0	1.0	
41	30.0	1.0	1.0	
42	30.0	1.0	1.0	
43	30.0	1.0	1.0	
44	30.0	1.0	1.0	
45	30.0	1.0	1.0	
46	30.0	1.0	1.0	
47	30.0	1.0	1.0	
48	30.0	1.0	1.0	
49	30.0	1.0	1.0	
50	30.0	1.0	1.0	
51	30.0	1.0	1.0	
52	30.0	1.0	1.0	
53	30.0	1.0	1.0	
54	30.0	1.0	1.0	
55	30.0	1.0	1.0	
56	30.0	1.0	1.0	
57	30.0	1.0	1.0	
58	30.0	1.0	1.0	
59	30.0	1.0	1.0	
60	30.0	1.0	1.0	
61	30.0	1.0	1.0	
62	30.0	1.0	1.0	
63	30.0	1.0	1.0	
64	30.0	1.0	1.0	
65	30.0	1.0	1.0	
66	30.0	1.0	1.0	
67	30.0	1.0	1.0	
68	30.0	1.0	1.0	
69	30.0	1.0	1.0	
70	30.0	1.0	1.0	
71	30.0	1.0	1.0	
72	30.0	1.0	1.0	
73	30.0	1.0	1.0	
74	30.0	1.0	1.0	
75	28.0	1.0	0.0	
76	30.0	1.0	1.0	
77	30.0	1.0	1.0	
78	30.0	1.0	1.0	
79	30.0	1.0	1.0	
80	30.0	1.0	1.0	
81	30.0	1.0	1.0	
82	30.0	1.0	1.0	
83	30.0	1.0	1.0	
84	30.0	1.0	1.0	
85	30.0	1.0	1.0	
86	30.0	1.0	1.0	
87	30.0	1.0	1.0	
88	30.0	1.0	1.0	
89	30.0	1.0	1.0	
90	30.0	1.0	1.0	
91	30.0	1.0	1.0	
92	30.0	1.0	1.0	
93	30.0	1.0	1.0	
94	30.0	1.0	1.0	
95	30.0	1.0	1.0	
96	30.0	1.0	1.0	
97	30.0	1.0	1.0	
98	30.0	1.0	1.0	
99	30.0	1.0	1.0	
100	30.0	1.0	1.0	
101	30.0	1.0	1.0	
102	30.0	1.0	1.0	
103	30.0	1.0	1.0	
104	30.0	1.0	1.0	
105	30.0	1.0	1.0	
106	30.0	1.0	1.0	
107	30.0	1.0	1.0	
108	30.0	1.0	1.0	
109	30.0	1.0	1.0	
110	30.0	1.0	1.0	
111	30.0	1.0	1.0	
112	30.0	1.0	1.0	
113	30.0	1.0	1.0	
114	30.0	1.0	1.0	
115	30.0	1.0	1.0	
116	30.0	1.0	1.0	
117	30.0	1.0	1.0	
118	30.0	1.0	1.0	
119	30.0	1.0	1.0	
120	30.0	1.0	1.0	
121	30.0	1.0	1.0	
122	30.0	1.0	1.0	
123	30.0	1.0	1.0	
124	30.0	1.0	1.0	
125	30.0	1.0	1.0	
126	30.0	1.0	1.0	
127	30.0	1.0	1.0	
128	30.0	1.0	1.0	
129	30.0	1.0	1.0	
130	30.0	1.0	1.0	
131	30.0	1.0	1.0	
132	30.0	1.0	1.0	
133	30.0	1.0	1.0	
134	30.0	1.0	1.0	
135	30.0	1.0	1.0	
136	30.0	1.0	1.0	
137	30.0	1.0	1.0	
138	30.0	1.0	1.0	
139	30.0	1.0	1.0	
140	30.0	1.0	1.0	
141	30.0	1.0	1.0	
142	30.0	1.0	1.0	
143	30.0	1.0	1.0	
144	30.0	1.0	1.0	
145	30.0	1.0	1.0	
146	30.0	1.0	1.0	
147	30.0	1.0	1.0	
148	30.0	1.0	1.0	
149	30.0	1.0	1.0	
150	30.0	1.0	1.0	
151	30.0	1.0	1.0	
152	30.0	1.0	1.0	
153	30.0	1.0	1.0	
154	30.0	1.0	1.0	
155	30.0	1.0	1.0	
156	30.0	1.0	1.0	
157	30.0	1.0	1.0	
158	30.0	1.0	1.0	
159	30.0	1.0	1.0	
160	30.0	1.0	1.0	
161	30.0	1.0	1.0	
162	30.0	1.0	1.0	
163	30.0	1.0	1.0	
164	30.0	1.0	1.0	
165	30.0	1.0	1.0	
166	30.0	1.0	1.0	
167	30.0	1.0	1.0	
168	30.0	1.0	1.0	
169	30.0	1.0	1.0	
170	30.0	1.0	1.0	
171	30.0	1.0	1.0	
172	30.0	1.0	1.0	
173	30.0	1.0	1.0	
174	30.0	1.0	1.0	
175	30.0	1.0	1.0	
176	30.0	1.0	1.0	
177	30.0	1.0	1.0	
178	30.0	1.0	1.0	
179	30.0	1.0	1.0	
180	30.0	1.0	1.0	
181	30.0	1.0	1.0	
182	30.0	1.0	1.0	
183	30.0	1.0	1.0	
184	30.0	1.0	1.0	
185	30.0	1.0	1.0	
186	30.0	1.0	1.0	
187	30.0	1.0	1.0	
188	30.0	1.0	1.0	
189	30.0	1.0	1.0	
190	30.0	1.0	1.0	
191	30.0	1.0	1.0	
192	30.0	1.0	1.0	
193	30.0	1.0	1.0	
194	30.0	1.0	1.0	
195	30.0	1.0	1.0	
196	30.0	1.0	1.0	
197	30.0	1.0	1.0	
198	30.0	1.0	1.0	
199	30.0	1.0	1.0	
200	30.0	1.0	1.0	
201	30.0	1.0	1.0	
202	30.0	1.0	1.0	
203	30.0	1.0	1.0	
204	30.0	1.0	1.0	
205	30.0	1.0	1.0	
206	30.0	1.0	1.0	
207	30.0	1.0	1.0	
208	30.0	1.0	1.0	
209	30.0	1.0	1.0	
210	30.0	1.0	1.0	
211	30.0	1.0	1.0	
212	30.0	1.0	1.0	
213	30.0	1.0	1.0	
214	30.0	1.0	1.0	
215	30.0	1.0	1.0	
216	30.0	1.0	1.0	
217	30.0	1.0	1.0	
218	30.0	1.0	1.0	
219	30.0	1.0	1.0	
220	30.0	1.0	1.0	
221	30.0	1.0	1.0	
222	30.0	1.0	1.0	
223	30.0	1.0	1.0	
224	30.0	1.0	1.0	
225	30.0	1.0	1.0	
226	30.0	1.0	1.0	
227	30.0	1.0	1.0	
228	30.0	1.0	1.0	
229	30.0	1.0	1.0	
230	30.0	1.0	1.0	
