Sample	cat16-61.trees	cat16-61.sequence16_sequence09_sequence10_sequence08_sequence15	cat16-61.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence06	cat16-61.sequence01_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-61.sequence13_sequence02_sequence09_sequence03_sequence15	cat16-61.sequence13_sequence16_sequence02_sequence03_sequence10_sequence08	cat16-61.sequence04_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
0	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
1	26.0	1.0	0.0	0.0	0.0	0.0	1.0	
2	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
3	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
4	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
5	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
6	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
7	26.0	1.0	1.0	0.0	0.0	0.0	0.0	
8	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
9	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
10	28.0	0.0	1.0	0.0	0.0	1.0	0.0	
11	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
12	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
13	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
14	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
15	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
16	26.0	1.0	1.0	0.0	0.0	0.0	0.0	
17	28.0	1.0	0.0	1.0	0.0	0.0	0.0	
18	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
19	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
20	30.0	0.0	0.0	1.0	0.0	1.0	0.0	
21	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
22	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
23	26.0	0.0	0.0	0.0	1.0	0.0	1.0	
24	26.0	0.0	1.0	0.0	1.0	0.0	0.0	
25	28.0	0.0	0.0	1.0	1.0	0.0	0.0	
26	28.0	0.0	0.0	0.0	0.0	1.0	1.0	
