Sample	cat16-70.trees	cat16-70.sequence09_sequence08	cat16-70.sequence01_sequence04_sequence07_sequence11_sequence12_sequence16_sequence03_sequence06	cat16-70.sequence09_sequence10	cat16-70.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence03_sequence06	cat16-70.sequence01_sequence04_sequence07_sequence12_sequence13_sequence03_sequence06	cat16-70.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence16_sequence03_sequence06_sequence15	cat16-70.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence13_sequence03_sequence06_sequence15	cat16-70.sequence01_sequence05_sequence04_sequence14_sequence07_sequence12_sequence03_sequence06_sequence15	cat16-70.sequence10_sequence08	cat16-70.sequence11_sequence13_sequence16	cat16-70.sequence05_sequence14_sequence13_sequence15	cat16-70.sequence05_sequence14_sequence11_sequence16_sequence15	cat16-70.sequence05_sequence14_sequence11_sequence13_sequence16_sequence15	
0	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
1	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
2	28.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
3	26.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
4	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
5	26.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
6	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
7	26.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
8	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
9	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	
10	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
11	28.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
12	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
13	28.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
14	26.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
15	26.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	
