Sample	cat16-71.trees	cat16-71.sequence01_sequence11_sequence13_sequence16_sequence09_sequence03_sequence15	cat16-71.sequence05_sequence04_sequence14_sequence07_sequence12_sequence02_sequence10_sequence06_sequence08_sequence15	cat16-71.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08	
0	28.0	1.0	0.0	0.0	
1	30.0	0.0	0.0	1.0	
2	28.0	1.0	0.0	0.0	
3	28.0	1.0	0.0	0.0	
4	30.0	0.0	0.0	1.0	
5	30.0	0.0	0.0	1.0	
6	28.0	1.0	0.0	0.0	
7	28.0	1.0	0.0	0.0	
8	28.0	1.0	0.0	0.0	
9	28.0	0.0	1.0	0.0	
10	30.0	0.0	0.0	1.0	
11	30.0	0.0	0.0	1.0	
12	28.0	1.0	0.0	0.0	
13	28.0	0.0	1.0	0.0	
14	28.0	1.0	0.0	0.0	
15	30.0	0.0	0.0	1.0	
16	30.0	0.0	0.0	1.0	
17	28.0	0.0	1.0	0.0	
18	28.0	0.0	1.0	0.0	
19	30.0	0.0	0.0	1.0	
20	28.0	1.0	0.0	0.0	
21	30.0	0.0	0.0	1.0	
22	28.0	1.0	0.0	0.0	
23	28.0	1.0	0.0	0.0	
24	30.0	0.0	0.0	1.0	
25	30.0	0.0	0.0	1.0	
26	28.0	0.0	1.0	0.0	
27	28.0	1.0	0.0	0.0	
28	30.0	0.0	0.0	1.0	
29	28.0	1.0	0.0	0.0	
30	28.0	1.0	0.0	0.0	
31	28.0	1.0	0.0	0.0	
32	28.0	0.0	1.0	0.0	
33	28.0	0.0	1.0	0.0	
34	28.0	1.0	0.0	0.0	
35	28.0	0.0	1.0	0.0	
36	30.0	0.0	0.0	1.0	
37	28.0	1.0	0.0	0.0	
38	30.0	0.0	0.0	1.0	
39	30.0	0.0	0.0	1.0	
40	28.0	1.0	0.0	0.0	
41	28.0	1.0	0.0	0.0	
42	28.0	1.0	0.0	0.0	
43	28.0	1.0	0.0	0.0	
44	28.0	1.0	0.0	0.0	
45	30.0	0.0	0.0	1.0	
46	28.0	1.0	0.0	0.0	
47	30.0	0.0	0.0	1.0	
48	28.0	0.0	1.0	0.0	
49	28.0	1.0	0.0	0.0	
50	28.0	1.0	0.0	0.0	
51	28.0	1.0	0.0	0.0	
52	28.0	1.0	0.0	0.0	
53	30.0	0.0	0.0	1.0	
54	30.0	0.0	0.0	1.0	
55	30.0	0.0	0.0	1.0	
56	28.0	0.0	1.0	0.0	
57	30.0	0.0	0.0	1.0	
58	28.0	0.0	1.0	0.0	
59	30.0	0.0	0.0	1.0	
60	28.0	1.0	0.0	0.0	
61	28.0	1.0	0.0	0.0	
62	30.0	0.0	0.0	1.0	
63	30.0	0.0	0.0	1.0	
64	28.0	0.0	1.0	0.0	
65	30.0	0.0	0.0	1.0	
66	28.0	1.0	0.0	0.0	
67	28.0	1.0	0.0	0.0	
68	30.0	0.0	0.0	1.0	
69	28.0	0.0	1.0	0.0	
70	30.0	0.0	0.0	1.0	
71	30.0	0.0	0.0	1.0	
72	30.0	0.0	0.0	1.0	
73	30.0	0.0	0.0	1.0	
74	28.0	0.0	1.0	0.0	
75	30.0	0.0	0.0	1.0	
76	28.0	1.0	0.0	0.0	
77	30.0	0.0	0.0	1.0	
78	30.0	0.0	0.0	1.0	
79	28.0	1.0	0.0	0.0	
80	30.0	0.0	0.0	1.0	
81	28.0	0.0	1.0	0.0	
82	28.0	0.0	1.0	0.0	
83	28.0	1.0	0.0	0.0	
84	30.0	0.0	0.0	1.0	
