Sample	cat16-72.trees	cat16-72.sequence01_sequence07_sequence16_sequence09_sequence08	cat16-72.sequence04_sequence14_sequence11_sequence12_sequence13_sequence03_sequence10_sequence15	cat16-72.sequence01_sequence05_sequence14_sequence07_sequence16_sequence02_sequence09_sequence10_sequence06_sequence08	cat16-72.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence06_sequence08_sequence15	
0	28.0	1.0	1.0	0.0	0.0	
1	28.0	1.0	1.0	0.0	0.0	
2	28.0	1.0	0.0	1.0	0.0	
3	30.0	1.0	0.0	0.0	1.0	
4	28.0	1.0	0.0	1.0	0.0	
5	28.0	1.0	1.0	0.0	0.0	
6	28.0	1.0	1.0	0.0	0.0	
7	28.0	1.0	0.0	1.0	0.0	
8	28.0	1.0	1.0	0.0	0.0	
9	28.0	1.0	0.0	1.0	0.0	
10	28.0	1.0	0.0	1.0	0.0	
11	30.0	1.0	0.0	0.0	1.0	
12	30.0	1.0	0.0	0.0	1.0	
13	28.0	1.0	1.0	0.0	0.0	
14	28.0	1.0	1.0	0.0	0.0	
15	28.0	1.0	1.0	0.0	0.0	
16	28.0	1.0	0.0	1.0	0.0	
17	30.0	1.0	0.0	0.0	1.0	
18	28.0	1.0	0.0	1.0	0.0	
19	30.0	1.0	0.0	0.0	1.0	
20	28.0	1.0	1.0	0.0	0.0	
21	28.0	1.0	1.0	0.0	0.0	
22	30.0	1.0	0.0	0.0	1.0	
23	28.0	1.0	1.0	0.0	0.0	
24	28.0	1.0	0.0	1.0	0.0	
25	30.0	1.0	0.0	0.0	1.0	
26	28.0	1.0	0.0	1.0	0.0	
27	28.0	1.0	0.0	1.0	0.0	
28	28.0	1.0	1.0	0.0	0.0	
29	28.0	1.0	0.0	1.0	0.0	
30	28.0	1.0	0.0	1.0	0.0	
31	30.0	1.0	0.0	0.0	1.0	
32	30.0	1.0	0.0	0.0	1.0	
33	28.0	1.0	1.0	0.0	0.0	
34	30.0	1.0	0.0	0.0	1.0	
35	30.0	1.0	0.0	0.0	1.0	
36	28.0	1.0	1.0	0.0	0.0	
37	28.0	1.0	0.0	1.0	0.0	
38	30.0	1.0	0.0	0.0	1.0	
39	28.0	1.0	1.0	0.0	0.0	
40	28.0	1.0	0.0	1.0	0.0	
41	28.0	1.0	0.0	1.0	0.0	
42	30.0	1.0	0.0	0.0	1.0	
43	28.0	1.0	0.0	1.0	0.0	
44	28.0	1.0	1.0	0.0	0.0	
45	28.0	1.0	0.0	1.0	0.0	
46	28.0	1.0	1.0	0.0	0.0	
47	28.0	1.0	1.0	0.0	0.0	
48	28.0	1.0	0.0	1.0	0.0	
49	30.0	1.0	0.0	0.0	1.0	
50	28.0	1.0	0.0	1.0	0.0	
51	30.0	1.0	0.0	0.0	1.0	
52	28.0	1.0	1.0	0.0	0.0	
53	28.0	1.0	1.0	0.0	0.0	
54	30.0	1.0	0.0	0.0	1.0	
55	28.0	1.0	1.0	0.0	0.0	
56	28.0	1.0	0.0	1.0	0.0	
57	28.0	1.0	1.0	0.0	0.0	
58	28.0	1.0	0.0	1.0	0.0	
59	28.0	1.0	0.0	1.0	0.0	
60	30.0	1.0	0.0	0.0	1.0	
61	30.0	1.0	0.0	0.0	1.0	
62	30.0	1.0	0.0	0.0	1.0	
63	30.0	1.0	0.0	0.0	1.0	
64	28.0	1.0	0.0	1.0	0.0	
65	28.0	1.0	1.0	0.0	0.0	
66	28.0	1.0	0.0	1.0	0.0	
67	28.0	1.0	0.0	1.0	0.0	
68	28.0	1.0	0.0	1.0	0.0	
69	28.0	1.0	0.0	1.0	0.0	
70	30.0	1.0	0.0	0.0	1.0	
71	28.0	1.0	1.0	0.0	0.0	
72	28.0	1.0	0.0	1.0	0.0	
73	28.0	1.0	0.0	1.0	0.0	
74	28.0	1.0	0.0	1.0	0.0	
75	30.0	1.0	0.0	0.0	1.0	
76	30.0	1.0	0.0	0.0	1.0	
77	30.0	1.0	0.0	0.0	1.0	
78	28.0	1.0	0.0	1.0	0.0	
