Sample	cat16-73.trees	cat16-73.sequence07_sequence13_sequence16_sequence09_sequence10_sequence15	cat16-73.sequence13_sequence16_sequence02_sequence09_sequence15	cat16-73.sequence01_sequence05_sequence04_sequence14_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence15	cat16-73.sequence07_sequence02_sequence10	cat16-73.sequence01_sequence04_sequence07_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-73.sequence05_sequence14_sequence11_sequence12_sequence06_sequence08	cat16-73.sequence01_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	
0	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
1	26.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
2	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
3	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
4	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
5	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
6	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
7	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
8	26.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	
9	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
10	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
11	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
12	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
13	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
14	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
15	28.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
16	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
17	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
18	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
19	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
20	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
21	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
22	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
23	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	
24	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
25	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
26	26.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	
27	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
28	28.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
29	30.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	
