Sample	cat16-74.trees	cat16-74.sequence01_sequence04_sequence14_sequence11_sequence12_sequence03_sequence10	cat16-74.sequence04_sequence14_sequence12_sequence02	cat16-74.sequence11_sequence10	cat16-74.sequence13_sequence08_sequence15	cat16-74.sequence01_sequence03_sequence10	cat16-74.sequence01_sequence11_sequence03	cat16-74.sequence01_sequence11_sequence02_sequence03_sequence10	
0	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
1	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
2	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
3	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
4	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
5	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
6	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
7	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
8	26.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	
9	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
10	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
11	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
12	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
13	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
14	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
15	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
16	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
17	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
18	26.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	
19	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
20	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
21	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
22	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
23	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
24	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
25	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
26	26.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
27	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
28	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
29	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
30	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
31	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
32	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
33	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
34	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
35	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
36	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
37	30.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	
38	28.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	
39	28.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
