Sample	cat16-77.trees	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence16_sequence09_sequence15	cat16-77.sequence01_sequence16	cat16-77.sequence05_sequence11_sequence12_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence01_sequence04_sequence14_sequence07_sequence13_sequence09_sequence15	cat16-77.sequence05_sequence11_sequence12_sequence16_sequence02_sequence03_sequence10_sequence06_sequence08	cat16-77.sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-77.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	
0	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
1	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
2	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
3	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
4	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
5	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
6	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
7	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
8	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
9	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
10	26.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	
11	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
12	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
13	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
14	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
15	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
16	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
17	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
18	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
19	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
20	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
21	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
22	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
23	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
24	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
25	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
26	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
27	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
28	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
29	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
30	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
31	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
32	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
33	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
34	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
35	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
36	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
37	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
38	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
39	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
40	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
41	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
42	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
43	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
44	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
45	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
46	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
47	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
48	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
49	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
50	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
51	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
52	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
53	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
54	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
55	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
56	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
57	28.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
58	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
59	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
60	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
61	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
62	28.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	
63	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
64	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
65	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
66	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
67	28.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	
68	26.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	
69	30.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	
70	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	
