Sample	cat16-81.trees	cat16-81.sequence01_sequence05_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence12_sequence13_sequence16	cat16-81.sequence01_sequence12_sequence13_sequence16_sequence02	cat16-81.sequence01_sequence04_sequence07_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence15	cat16-81.sequence01_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence06_sequence08_sequence15	cat16-81.sequence05_sequence14_sequence11_sequence06_sequence08	cat16-81.sequence01_sequence12_sequence13_sequence02	cat16-81.sequence16_sequence02	
0	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
1	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
2	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
3	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
4	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
5	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
6	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
7	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
8	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
9	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
10	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
11	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
12	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
13	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
14	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
15	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
16	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
17	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
18	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
19	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
20	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
21	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
22	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
23	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
24	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
25	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
26	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
27	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
28	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
29	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
30	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
31	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
32	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
33	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
34	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
35	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
36	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
37	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
38	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
39	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
40	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
41	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
42	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
43	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
44	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
45	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
46	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
47	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
48	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
49	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
50	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
51	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
52	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
53	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
54	26.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	
55	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
56	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
57	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
58	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
59	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
60	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
61	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
62	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
63	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
64	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
65	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
66	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
67	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
68	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
69	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
70	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
71	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
72	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
73	30.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	
74	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
75	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
76	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
77	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
78	28.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	
79	26.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	
