Sample	cat16-85.trees	cat16-85.sequence09_sequence06_sequence08_sequence15	cat16-85.sequence01_sequence04_sequence12_sequence13_sequence02_sequence10	cat16-85.sequence14_sequence11_sequence16	cat16-85.sequence05_sequence14_sequence07_sequence11_sequence03	cat16-85.sequence05_sequence07_sequence16_sequence03	
0	28.0	1.0	1.0	0.0	1.0	0.0	
1	28.0	1.0	1.0	0.0	1.0	0.0	
2	28.0	1.0	1.0	0.0	1.0	0.0	
3	30.0	1.0	1.0	1.0	0.0	0.0	
4	28.0	1.0	1.0	0.0	1.0	0.0	
5	28.0	1.0	1.0	0.0	1.0	0.0	
6	28.0	1.0	1.0	0.0	1.0	0.0	
7	28.0	1.0	1.0	0.0	1.0	0.0	
8	28.0	1.0	1.0	0.0	1.0	0.0	
9	30.0	1.0	1.0	1.0	0.0	0.0	
10	28.0	1.0	1.0	0.0	1.0	0.0	
11	28.0	1.0	1.0	0.0	0.0	1.0	
12	30.0	1.0	1.0	1.0	0.0	0.0	
13	30.0	1.0	1.0	1.0	0.0	0.0	
14	28.0	1.0	1.0	0.0	1.0	0.0	
15	30.0	1.0	1.0	1.0	0.0	0.0	
16	28.0	1.0	1.0	0.0	1.0	0.0	
17	28.0	1.0	1.0	0.0	1.0	0.0	
18	28.0	1.0	1.0	0.0	1.0	0.0	
19	30.0	1.0	1.0	1.0	0.0	0.0	
20	28.0	1.0	1.0	0.0	1.0	0.0	
21	28.0	1.0	1.0	0.0	1.0	0.0	
22	28.0	1.0	1.0	0.0	0.0	1.0	
23	28.0	1.0	1.0	0.0	1.0	0.0	
24	28.0	1.0	1.0	0.0	1.0	0.0	
25	30.0	1.0	1.0	1.0	0.0	0.0	
26	28.0	1.0	1.0	0.0	1.0	0.0	
27	28.0	1.0	1.0	0.0	1.0	0.0	
28	30.0	1.0	1.0	1.0	0.0	0.0	
29	28.0	1.0	1.0	0.0	1.0	0.0	
30	28.0	1.0	1.0	0.0	1.0	0.0	
31	28.0	1.0	1.0	0.0	1.0	0.0	
32	28.0	1.0	1.0	0.0	0.0	1.0	
33	30.0	1.0	1.0	1.0	0.0	0.0	
34	28.0	1.0	1.0	0.0	1.0	0.0	
35	28.0	1.0	1.0	0.0	1.0	0.0	
36	28.0	1.0	1.0	0.0	1.0	0.0	
37	28.0	1.0	1.0	0.0	1.0	0.0	
38	28.0	1.0	1.0	0.0	1.0	0.0	
39	28.0	1.0	1.0	0.0	1.0	0.0	
40	28.0	1.0	1.0	0.0	0.0	1.0	
41	28.0	1.0	1.0	0.0	1.0	0.0	
42	28.0	1.0	1.0	0.0	1.0	0.0	
43	30.0	1.0	1.0	1.0	0.0	0.0	
44	30.0	1.0	1.0	1.0	0.0	0.0	
45	28.0	1.0	1.0	0.0	1.0	0.0	
46	28.0	1.0	1.0	0.0	1.0	0.0	
47	28.0	1.0	1.0	0.0	1.0	0.0	
48	28.0	1.0	1.0	0.0	1.0	0.0	
49	28.0	1.0	1.0	0.0	1.0	0.0	
50	30.0	1.0	1.0	1.0	0.0	0.0	
51	30.0	1.0	1.0	1.0	0.0	0.0	
52	28.0	1.0	1.0	0.0	1.0	0.0	
53	28.0	1.0	1.0	0.0	0.0	1.0	
54	28.0	1.0	1.0	0.0	1.0	0.0	
55	30.0	1.0	1.0	1.0	0.0	0.0	
56	30.0	1.0	1.0	1.0	0.0	0.0	
57	28.0	1.0	1.0	0.0	1.0	0.0	
58	28.0	1.0	1.0	0.0	1.0	0.0	
59	30.0	1.0	1.0	1.0	0.0	0.0	
60	30.0	1.0	1.0	1.0	0.0	0.0	
61	30.0	1.0	1.0	1.0	0.0	0.0	
62	30.0	1.0	1.0	1.0	0.0	0.0	
63	30.0	1.0	1.0	1.0	0.0	0.0	
64	28.0	1.0	1.0	0.0	1.0	0.0	
65	30.0	1.0	1.0	1.0	0.0	0.0	
66	28.0	1.0	1.0	0.0	1.0	0.0	
67	30.0	1.0	1.0	1.0	0.0	0.0	
68	30.0	1.0	1.0	1.0	0.0	0.0	
69	30.0	1.0	1.0	1.0	0.0	0.0	
70	28.0	1.0	1.0	0.0	1.0	0.0	
71	28.0	1.0	1.0	0.0	1.0	0.0	
72	30.0	1.0	1.0	1.0	0.0	0.0	
73	28.0	1.0	1.0	0.0	1.0	0.0	
74	30.0	1.0	1.0	1.0	0.0	0.0	
