Sample	cat16-9.trees	cat16-9.sequence01_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10	cat16-9.sequence01_sequence05_sequence04_sequence14_sequence07_sequence11_sequence12_sequence13_sequence16_sequence02_sequence09_sequence03_sequence10_sequence08_sequence15	cat16-9.sequence14_sequence02_sequence03_sequence06_sequence15	cat16-9.sequence01_sequence05_sequence04_sequence07_sequence11_sequence12_sequence13_sequence16_sequence09_sequence10_sequence06_sequence08	
0	30.0	1.0	0.0	1.0	0.0	
1	30.0	1.0	0.0	1.0	0.0	
2	30.0	1.0	0.0	1.0	0.0	
3	28.0	1.0	1.0	0.0	0.0	
4	30.0	1.0	0.0	1.0	0.0	
5	28.0	1.0	0.0	0.0	1.0	
6	30.0	1.0	0.0	1.0	0.0	
7	30.0	1.0	0.0	1.0	0.0	
8	28.0	1.0	0.0	0.0	1.0	
9	30.0	1.0	0.0	1.0	0.0	
10	30.0	1.0	0.0	1.0	0.0	
11	30.0	1.0	0.0	1.0	0.0	
12	28.0	1.0	0.0	0.0	1.0	
13	30.0	1.0	0.0	1.0	0.0	
14	28.0	1.0	0.0	0.0	1.0	
15	28.0	1.0	0.0	0.0	1.0	
16	28.0	1.0	0.0	0.0	1.0	
17	30.0	1.0	0.0	1.0	0.0	
18	30.0	1.0	0.0	1.0	0.0	
19	30.0	1.0	0.0	1.0	0.0	
20	30.0	1.0	0.0	1.0	0.0	
21	30.0	1.0	0.0	1.0	0.0	
22	30.0	1.0	0.0	1.0	0.0	
23	28.0	1.0	0.0	0.0	1.0	
24	30.0	1.0	0.0	1.0	0.0	
25	28.0	1.0	0.0	0.0	1.0	
26	30.0	1.0	0.0	1.0	0.0	
27	30.0	1.0	0.0	1.0	0.0	
28	28.0	1.0	0.0	0.0	1.0	
29	28.0	1.0	0.0	0.0	1.0	
30	30.0	1.0	0.0	1.0	0.0	
31	28.0	1.0	0.0	0.0	1.0	
32	28.0	1.0	1.0	0.0	0.0	
33	30.0	1.0	0.0	1.0	0.0	
34	30.0	1.0	0.0	1.0	0.0	
35	28.0	1.0	0.0	0.0	1.0	
36	30.0	1.0	0.0	1.0	0.0	
37	30.0	1.0	0.0	1.0	0.0	
