Sample	cat16-95.trees	cat16-95.sequence14_sequence13_sequence09	cat16-95.sequence14_sequence13_sequence09_sequence03_sequence08	cat16-95.sequence05_sequence04_sequence14	cat16-95.sequence05_sequence04_sequence03_sequence08	cat16-95.sequence05_sequence04_sequence03	cat16-95.sequence03_sequence08	cat16-95.sequence05_sequence04_sequence14_sequence13_sequence09	cat16-95.sequence05_sequence04_sequence14_sequence13_sequence09_sequence08	cat16-95.sequence05_sequence04_sequence14_sequence13_sequence09_sequence03	cat16-95.sequence05_sequence04_sequence13_sequence09	
0	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
1	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
2	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
3	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
4	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
5	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
6	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
7	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
8	28.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	
9	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
10	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
11	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
12	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
13	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
14	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
15	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	
16	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
17	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
18	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
19	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
20	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
21	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
22	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
23	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
24	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
25	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
26	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
27	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
28	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
29	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
30	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
31	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
32	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
33	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
34	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
35	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
36	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
37	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
38	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
39	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
40	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
41	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
42	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
43	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
44	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
45	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
46	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
47	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
48	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
49	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
50	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
51	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
52	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
53	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
54	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
55	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
56	26.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	
57	28.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
58	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
59	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
60	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
61	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
62	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
63	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
64	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
65	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
66	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
67	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
68	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
69	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
70	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
71	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
72	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
73	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
74	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
75	26.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	
76	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
77	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	
78	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
79	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
80	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
81	26.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
82	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
83	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
84	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
85	24.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
86	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
87	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
88	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
89	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	
90	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
91	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
92	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
93	28.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	
94	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
95	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
96	24.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
97	30.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
98	28.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	
