Sample	cat16-25.trees	cat16-25.sequence01_sequence05_sequence11_sequence15_sequence02	cat16-25.sequence10_sequence13	cat16-25.sequence04_sequence10_sequence13	cat16-25.sequence07_sequence14	cat16-25.sequence07_sequence14_sequence16	cat16-25.sequence07_sequence14_sequence16_sequence12	cat16-25.sequence06_sequence07_sequence14_sequence16_sequence12	cat16-25.sequence04_sequence10_sequence13_sequence06_sequence07_sequence14_sequence16_sequence12	cat16-25.sequence05_sequence11	cat16-25.sequence01_sequence05_sequence11	cat16-25.sequence01_sequence05_sequence11_sequence15	cat16-25.sequence01_sequence05_sequence11_sequence15_sequence02_sequence03_sequence09_sequence08	cat16-25.sequence01_sequence05_sequence11_sequence15_sequence02_sequence03_sequence09_sequence08_sequence04_sequence10_sequence13_sequence06_sequence07_sequence14_sequence16_sequence12	cat16-25.sequence03_sequence09	cat16-25.sequence03_sequence09_sequence08	
0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
1	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
2	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
3	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
4	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
5	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
6	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
7	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
8	28.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	
9	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
