Sample	cat16-5.trees	cat16-5.sequence01_sequence07_sequence14_sequence15_sequence04	cat16-5.sequence01_sequence07_sequence14_sequence15_sequence04_sequence02	cat16-5.sequence01_sequence07_sequence14_sequence15_sequence04_sequence02_sequence12	cat16-5.sequence01_sequence07_sequence14_sequence15_sequence04_sequence02_sequence12_sequence13	cat16-5.sequence01_sequence07_sequence14_sequence15_sequence04_sequence02_sequence12_sequence13_sequence06_sequence10	cat16-5.sequence01_sequence07_sequence14_sequence15_sequence04_sequence02_sequence12_sequence13_sequence06_sequence10_sequence03_sequence05_sequence16_sequence09_sequence08_sequence11	cat16-5.sequence06_sequence10	cat16-5.sequence05_sequence16	cat16-5.sequence05_sequence16_sequence09	cat16-5.sequence05_sequence16_sequence09_sequence08	cat16-5.sequence05_sequence16_sequence09_sequence08_sequence11	cat16-5.sequence03_sequence05_sequence16_sequence09_sequence08_sequence11	cat16-5.sequence07_sequence14_sequence15	cat16-5.sequence01_sequence07_sequence14_sequence15	cat16-5.sequence14_sequence15	
0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	26.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
2	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
3	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
4	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
5	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
6	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
7	28.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
8	26.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
9	24.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
