Sample	cat16-50.trees	cat16-50.sequence06_sequence09	cat16-50.sequence01_sequence08_sequence02_sequence06_sequence09_sequence16	cat16-50.sequence01_sequence08_sequence02_sequence06_sequence09_sequence16_sequence15	cat16-50.sequence01_sequence08_sequence02_sequence06_sequence09_sequence16_sequence15_sequence07_sequence10	cat16-50.sequence01_sequence08_sequence02_sequence06_sequence09_sequence16_sequence15_sequence07_sequence10_sequence03_sequence04_sequence12_sequence05_sequence11_sequence13_sequence14	cat16-50.sequence02_sequence06_sequence09	cat16-50.sequence02_sequence06_sequence09_sequence16	cat16-50.sequence01_sequence08	cat16-50.sequence07_sequence10	cat16-50.sequence04_sequence12	cat16-50.sequence03_sequence04_sequence12	cat16-50.sequence05_sequence11	cat16-50.sequence05_sequence11_sequence13	cat16-50.sequence03_sequence04_sequence12_sequence05_sequence11_sequence13	cat16-50.sequence03_sequence04_sequence12_sequence05_sequence11_sequence13_sequence14	
0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
1	20.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	
2	20.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	
3	22.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	
4	22.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	
5	24.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	
6	22.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	
7	22.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	
8	22.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
9	22.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
10	22.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	
11	26.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	
12	30.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
13	28.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
