Sample	o.trees	o.trees.clade.0	o.trees.clade.1	o.trees.clade.2	o.trees.clade.3	
0	6.0	0.0	1.0	0.0	1.0	
1	6.0	0.0	0.0	1.0	1.0	
2	8.0	1.0	1.0	1.0	0.0	
3	8.0	1.0	1.0	0.0	1.0	
4	10.0	1.0	1.0	1.0	1.0	
5	4.0	0.0	0.0	0.0	1.0	
6	8.0	1.0	0.0	1.0	1.0	
7	8.0	1.0	1.0	0.0	1.0	
8	8.0	1.0	1.0	1.0	0.0	
9	4.0	0.0	0.0	0.0	1.0	
10	8.0	1.0	1.0	0.0	1.0	
11	6.0	0.0	0.0	1.0	1.0	
12	8.0	1.0	1.0	0.0	1.0	
13	8.0	1.0	0.0	1.0	1.0	
14	4.0	0.0	1.0	0.0	0.0	
15	8.0	1.0	1.0	1.0	0.0	
16	8.0	1.0	0.0	1.0	1.0	
17	8.0	1.0	1.0	0.0	1.0	
18	6.0	1.0	1.0	0.0	0.0	
19	6.0	1.0	0.0	1.0	0.0	
20	6.0	0.0	0.0	1.0	1.0	
21	6.0	0.0	1.0	0.0	1.0	
22	6.0	1.0	0.0	0.0	1.0	
23	4.0	0.0	1.0	0.0	0.0	
24	6.0	0.0	1.0	0.0	1.0	
25	10.0	1.0	1.0	1.0	1.0	
26	6.0	0.0	0.0	1.0	1.0	
27	8.0	1.0	1.0	1.0	0.0	
28	6.0	1.0	1.0	0.0	0.0	
29	10.0	1.0	1.0	1.0	1.0	
30	8.0	1.0	1.0	0.0	1.0	
31	10.0	1.0	1.0	1.0	1.0	
32	10.0	1.0	1.0	1.0	1.0	
33	8.0	1.0	1.0	1.0	0.0	
34	8.0	1.0	1.0	0.0	1.0	
35	6.0	0.0	1.0	0.0	1.0	
36	6.0	0.0	1.0	0.0	1.0	
37	8.0	1.0	0.0	1.0	1.0	
38	6.0	1.0	0.0	0.0	1.0	
39	6.0	0.0	1.0	0.0	1.0	
40	10.0	1.0	1.0	1.0	1.0	
41	8.0	1.0	1.0	1.0	0.0	
42	8.0	1.0	1.0	0.0	1.0	
43	8.0	1.0	1.0	1.0	0.0	
44	6.0	1.0	1.0	0.0	0.0	
45	8.0	1.0	1.0	1.0	0.0	
46	2.0	0.0	0.0	0.0	0.0	
47	10.0	1.0	1.0	1.0	1.0	
48	8.0	1.0	1.0	0.0	1.0	
49	4.0	0.0	0.0	1.0	0.0	
50	10.0	1.0	1.0	1.0	1.0	
51	6.0	1.0	0.0	0.0	1.0	
52	6.0	0.0	1.0	0.0	1.0	
53	8.0	1.0	1.0	0.0	1.0	
54	10.0	1.0	1.0	1.0	1.0	
55	2.0	0.0	0.0	0.0	0.0	
56	8.0	1.0	1.0	0.0	1.0	
57	4.0	0.0	0.0	0.0	1.0	
58	6.0	0.0	1.0	0.0	1.0	
59	10.0	1.0	1.0	1.0	1.0	
60	10.0	1.0	1.0	1.0	1.0	
61	10.0	1.0	1.0	1.0	1.0	
62	8.0	1.0	0.0	1.0	1.0	
63	8.0	1.0	1.0	0.0	1.0	
64	6.0	1.0	1.0	0.0	0.0	
65	10.0	1.0	1.0	1.0	1.0	
66	6.0	0.0	1.0	1.0	0.0	
67	8.0	1.0	1.0	0.0	1.0	
68	8.0	1.0	0.0	1.0	1.0	
69	10.0	1.0	1.0	1.0	1.0	
70	8.0	1.0	1.0	0.0	1.0	
71	10.0	1.0	1.0	1.0	1.0	
72	8.0	1.0	1.0	0.0	1.0	
73	8.0	1.0	0.0	1.0	1.0	
74	10.0	1.0	1.0	1.0	1.0	
75	8.0	1.0	0.0	1.0	1.0	
76	8.0	1.0	0.0	1.0	1.0	
77	8.0	1.0	0.0	1.0	1.0	
78	6.0	0.0	0.0	1.0	1.0	
79	8.0	1.0	1.0	0.0	1.0	
80	2.0	0.0	0.0	0.0	0.0	
81	6.0	0.0	0.0	1.0	1.0	
82	6.0	1.0	1.0	0.0	0.0	
83	8.0	1.0	0.0	1.0	1.0	
84	6.0	0.0	0.0	1.0	1.0	
85	6.0	0.0	0.0	1.0	1.0	
86	6.0	1.0	0.0	0.0	1.0	
87	6.0	1.0	0.0	0.0	1.0	
88	6.0	1.0	0.0	0.0	1.0	
89	8.0	1.0	0.0	1.0	1.0	
90	10.0	1.0	1.0	1.0	1.0	
91	10.0	1.0	1.0	1.0	1.0	
92	6.0	0.0	1.0	0.0	1.0	
93	4.0	0.0	0.0	1.0	0.0	
94	8.0	1.0	0.0	1.0	1.0	
95	8.0	1.0	1.0	0.0	1.0	
96	10.0	1.0	1.0	1.0	1.0	
97	10.0	1.0	1.0	1.0	1.0	
98	8.0	1.0	0.0	1.0	1.0	
99	10.0	1.0	1.0	1.0	1.0	
100	8.0	1.0	1.0	1.0	0.0	
101	8.0	1.0	1.0	1.0	0.0	
102	8.0	1.0	1.0	0.0	1.0	
103	6.0	1.0	0.0	0.0	1.0	
104	8.0	1.0	1.0	1.0	0.0	
105	6.0	0.0	1.0	0.0	1.0	
106	10.0	1.0	1.0	1.0	1.0	
107	10.0	1.0	1.0	1.0	1.0	
108	6.0	0.0	1.0	0.0	1.0	
109	8.0	1.0	0.0	1.0	1.0	
110	10.0	1.0	1.0	1.0	1.0	
111	6.0	0.0	1.0	0.0	1.0	
112	10.0	1.0	1.0	1.0	1.0	
113	10.0	1.0	1.0	1.0	1.0	
114	8.0	1.0	0.0	1.0	1.0	
115	10.0	1.0	1.0	1.0	1.0	
116	8.0	1.0	1.0	0.0	1.0	
117	6.0	1.0	1.0	0.0	0.0	
118	6.0	1.0	0.0	0.0	1.0	
119	6.0	1.0	0.0	1.0	0.0	
120	8.0	1.0	1.0	0.0	1.0	
121	6.0	0.0	0.0	1.0	1.0	
122	10.0	1.0	1.0	1.0	1.0	
123	6.0	0.0	1.0	0.0	1.0	
124	10.0	1.0	1.0	1.0	1.0	
125	8.0	1.0	1.0	0.0	1.0	
126	8.0	1.0	1.0	0.0	1.0	
127	10.0	1.0	1.0	1.0	1.0	
128	6.0	0.0	1.0	0.0	1.0	
129	8.0	1.0	1.0	0.0	1.0	
130	8.0	1.0	1.0	0.0	1.0	
131	8.0	1.0	1.0	1.0	0.0	
132	4.0	0.0	0.0	0.0	1.0	
